Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-04-29,A Man and a Woman,1966,https://boxd.it/6mCPr5,4,,,2024-04-28
2024-05-09,Sing Street,2016,https://boxd.it/6r82Bb,4,,,2024-05-08
2024-05-11,A Summer's Tale,1996,https://boxd.it/6s6EJd,3.5,,,2024-05-11
2024-06-01,Everything's Gonna Be Great,1998,https://boxd.it/6Aq1kb,4,,,2024-06-01
2024-06-17,Sharp Objects,2018,https://boxd.it/6GH73j,3.5,,,2024-06-16
2024-07-06,All of Us Strangers,2023,https://boxd.it/6OnMpx,3.5,,,2024-07-05
2024-07-07,Victoria,2015,https://boxd.it/6OJ1Bl,3,,,2024-07-06
2024-07-16,Pauline at the Beach,1983,https://boxd.it/6T2oHb,4,,,2024-07-16
2024-07-27,The Killing of a Sacred Deer,2017,https://boxd.it/6XUQd3,3,,,2024-07-26
2024-08-05,Demolition,2015,https://boxd.it/71Wi5z,4,,,2024-08-04
2024-08-05,Batman Begins,2005,https://boxd.it/71WiYf,5,,,2024-08-04
2024-08-12,Inside Out 2,2024,https://boxd.it/751kFh,4.5,,,2024-08-10
2024-08-12,The Godfather,1972,https://boxd.it/751gZR,4,,,2024-08-12
2024-09-02,Children of Men,2006,https://boxd.it/7eWcwL,3,,,2024-09-02
2024-09-02,Killers of the Flower Moon,2023,https://boxd.it/7eWdLx,3.5,,,2024-09-02
2024-09-30,Seagrass,2023,https://boxd.it/7qXff9,4,,,2024-09-29
2024-11-17,A Nos Amours,1983,https://boxd.it/7P1qtZ,2,,,2024-11-16
2024-11-18,Kramer vs. Kramer,1979,https://boxd.it/7PGWAZ,4.5,,,2024-11-17
2024-12-14,A Real Pain,2024,https://boxd.it/82EKYt,4.5,,,2024-12-13
2024-12-20,Full Metal Jacket,1987,https://boxd.it/86hNgT,4,,,2024-12-20
2024-12-23,Kung Fu Panda 4,2024,https://boxd.it/87VY9D,3.5,,,2024-12-22
2024-12-25,Don't Let Them Shoot the Kite,1989,https://boxd.it/89qU7J,3.5,,,2024-12-24
2025-01-12,The Hours,2002,https://boxd.it/8qSqQX,4,,,2025-01-11
2025-01-14,Training Day,2001,https://boxd.it/8sDKCf,3.5,,,2025-01-13
2025-02-10,Lost in Translation,2003,https://boxd.it/8MYunP,3.5,,,2025-02-09
2025-02-10,Godard Mon Amour,2017,https://boxd.it/8MZcSd,4,,,2025-02-09
2025-02-21,A Complete Unknown,2024,https://boxd.it/8TRIs9,3,,,2025-02-20
2025-02-21,Like a Son,2023,https://boxd.it/8TRUr3,3.5,,,2025-02-20
2025-02-26,The Brutalist,2024,https://boxd.it/8Xu3mT,4,,,2025-02-25
